_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e6efe11522f1d30b51f|1499960|2023-05-14 07:29:32.176|1|RecvData 008213|2023-05-14 07:54:32.136|packet|recv|008213|14008213
64608e6efe11522f1d30b520|1500210|2023-05-14 07:29:32.176|10|SendData 010211|2023-05-14 07:54:32.386|packet|send|010211|15010211
64608e6efe11522f1d30b521|1500312|2023-05-14 07:29:32.176|13|SendData 013208|2023-05-14 07:54:32.488|packet|send|013208|15013208
64608e6efe11522f1d30b522|1500430|2023-05-14 07:29:32.176|2|RecvData 013208|2023-05-14 07:54:32.606|packet|recv|013208|15013208
64608e6efe11522f1d30b523|1500486|2023-05-14 07:29:32.176|1|RecvData 010211|2023-05-14 07:54:32.662|packet|recv|010211|15010211
64608e6efe11522f1d30b524|1500866|2023-05-14 07:29:32.176|14|SendData 014207|2023-05-14 07:54:33.042|packet|send|014207|15014207
64608e6efe11522f1d30b525|1501301|2023-05-14 07:29:32.176|2|RecvData 014207|2023-05-14 07:54:33.477|packet|recv|014207|15014207
64608e6ffe11522f1d30b526|1502366|2023-05-14 07:29:32.176|4|SendData 004217|2023-05-14 07:54:34.542|packet|send|004217|15004217
64608e6ffe11522f1d30b527|1502422|2023-05-14 07:29:32.176|1|RecvData 004217|2023-05-14 07:54:34.598|packet|recv|004217|15004217
64608e6ffe11522f1d30b528|1502452|2023-05-14 07:29:32.176|9|SendData 009213|2023-05-14 07:54:34.628|packet|send|009213|15009213
64608e6ffe11522f1d30b529|1502622|2023-05-14 07:29:32.176|7|SendData 007215|2023-05-14 07:54:34.798|packet|send|007215|15007215
64608e6ffe11522f1d30b52a|1502697|2023-05-14 07:29:32.176|2|RecvData 007215|2023-05-14 07:54:34.873|packet|recv|007215|15007215
64608e6ffe11522f1d30b52b|1502742|2023-05-14 07:29:32.176|2|RecvData 009213|2023-05-14 07:54:34.918|packet|recv|009213|15009213
64608e6ffe11522f1d30b52c|1503082|2023-05-14 07:29:32.176|6|SendData 006216|2023-05-14 07:54:35.258|packet|send|006216|15006216
64608e6ffe11522f1d30b52d|1503111|2023-05-14 07:29:32.176|5|SendData 005217|2023-05-14 07:54:35.287|packet|send|005217|15005217
64608e6ffe11522f1d30b52e|1503147|2023-05-14 07:29:32.176|2|RecvData 005217|2023-05-14 07:54:35.323|packet|recv|005217|15005217
64608e6ffe11522f1d30b52f|1503177|2023-05-14 07:29:32.176|2|RecvData 006216|2023-05-14 07:54:35.353|packet|recv|006216|15006216
64608e6ffe11522f1d30b530|1503417|2023-05-14 07:29:32.176|12|SendData 012210|2023-05-14 07:54:35.593|packet|send|012210|15012210
64608e6ffe11522f1d30b531|1503458|2023-05-14 07:29:32.176|11|SendData 011211|2023-05-14 07:54:35.634|packet|send|011211|15011211
64608e6ffe11522f1d30b532|1503581|2023-05-14 07:29:32.176|3|SendData 003219|2023-05-14 07:54:35.757|packet|send|003219|15003219
64608e6ffe11522f1d30b533|1503739|2023-05-14 07:29:32.176|8|SendData 008214|2023-05-14 07:54:35.915|packet|send|008214|15008214
64608e6ffe11522f1d30b534|1503774|2023-05-14 07:29:32.176|1|RecvData 003219|2023-05-14 07:54:35.950|packet|recv|003219|15003219
64608e6ffe11522f1d30b535|1503804|2023-05-14 07:29:32.176|1|RecvData 008214|2023-05-14 07:54:35.980|packet|recv|008214|15008214
64608e6ffe11522f1d30b536|1503849|2023-05-14 07:29:32.176|1|RecvData 012210|2023-05-14 07:54:36.025|packet|recv|012210|15012210
64608e6ffe11522f1d30b537|1503894|2023-05-14 07:29:32.176|1|RecvData 011211|2023-05-14 07:54:36.070|packet|recv|011211|15011211
64608e6ffe11522f1d30b538|1504218|2023-05-14 07:29:32.176|10|SendData 010212|2023-05-14 07:54:36.394|packet|send|010212|15010212
64608e6ffe11522f1d30b539|1504315|2023-05-14 07:29:32.176|13|SendData 013209|2023-05-14 07:54:36.491|packet|send|013209|15013209
64608e6ffe11522f1d30b53a|1504360|2023-05-14 07:29:32.176|1|RecvData 010212|2023-05-14 07:54:36.536|packet|recv|010212|15010212
64608e6ffe11522f1d30b53b|1504754|2023-05-14 07:29:32.176|2|RecvData 013209|2023-05-14 07:54:36.930|packet|recv|013209|15013209
